State_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Unhealthy_Days,Major_Depression,Recent_Drug_Use,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,MVA,Stroke,Suicide,Injury,,
01,Limestone,Alabama,AL,70469,124,8315,16983,45241,7399,59969,9302,352,352,2325,76,680,8,2832,2402,21423,56023,18322,0,17617,5708,14446,13178,118177,33966,21000,44325,9443,14376,,
01,Lowndes,Alabama,AL,13076,18,3047,3792,7610,1478,3648,9375,13,13,105,72,141,8,92,83,0,0,0,0,0,1255,2602,1857,14658,5937,6433,8173,1072,3347,,
01,Macon,Alabama,AL,22810,37,5885,6159,13367,2828,3581,18887,23,205,228,72,249,6,289,301,0,0,0,0,3581,3102,5908,7025,55588,13025,5201,15374,2669,7208,,
01,Madison,Alabama,AL,298192,370,32503,76039,186370,32503,213804,70075,2386,6262,6560,76,2701,6,49935,43849,68286,225433,68882,74250,63515,19382,92141,50693,340535,173548,49202,178915,31608,60831,,
01,Marengo,Alabama,AL,21879,22,4398,6082,12668,2735,10305,11421,22,66,394,74,226,9,261,231,0,0,0,0,3413,2472,5798,3829,38441,14199,8577,18575,1050,7023,,
01,Marion,Alabama,AL,30154,41,5066,6754,18303,4463,28646,1176,90,60,452,74,301,6,530,420,0,25571,9318,0,0,3046,7418,5367,59976,22676,12122,18605,4041,12212,,
01,Marshall,Alabama,AL,85634,151,13016,22008,51723,10704,82722,1370,428,343,7279,74,913,8,4092,3412,29801,70306,23549,31513,27060,6166,14215,14044,130078,64996,26118,72532,13445,22950,,
01,Mobile,Alabama,AL,401427,326,74264,110794,242060,43354,249688,138492,2810,6423,5219,74,4138,7,87997,78515,123640,305887,106780,109188,100758,26494,120830,82694,749866,262132,95941,244469,43756,107984,,
01,Monroe,Alabama,AL,23733,23,4201,6503,13860,2919,13528,9731,237,71,190,75,227,7,308,269,0,0,0,0,0,1922,5150,4628,40916,13480,6218,14691,2990,5221,,
01,Montgomery,Alabama,AL,221619,281,39891,60502,134966,22827,99950,116350,443,2659,3103,75,2159,6,26973,24773,62497,167544,52967,61610,45875,18838,64048,41221,380298,132085,42329,124550,22605,42994,,
01,Morgan,Alabama,AL,113740,195,15014,28208,70519,13421,97475,13421,796,796,5232,75,1102,7,7311,6150,26615,84736,25592,37193,32871,7621,28321,23544,144564,80414,18312,67675,17630,25592,,
01,Perry,Alabama,AL,11371,16,3252,3593,6163,1399,3411,7914,11,11,102,73,133,0,67,66,0,0,0,0,0,0,3400,3150,16943,5720,4526,12519,0,3718,,
01,Pickens,Alabama,AL,20178,23,3894,5307,11623,2845,11542,8555,20,20,161,74,210,7,226,196,0,0,0,0,3067,2583,3572,3450,24799,11118,7789,10432,1998,3995,,
01,Pike,Alabama,AL,29639,44,6017,7528,18376,3379,17843,10907,178,296,474,74,330,7,494,485,7173,0,8625,0,4890,3349,6965,7380,51364,14345,9307,20125,3527,5572,,
01,Randolph,Alabama,AL,22717,39,3567,5702,13289,3271,17447,5020,68,91,295,75,227,8,291,246,7996,0,0,0,5020,1840,7020,5384,46547,11790,9450,14630,3930,7133,,
01,Russell,Alabama,AL,49326,77,9175,12973,29645,6018,27672,20766,148,296,1036,72,564,8,1351,1150,16179,0,14255,0,10852,4785,14600,12775,55146,37192,11937,36353,6067,9273,,
01,St. Clair,Alabama,AL,72330,114,9475,17504,46074,7956,65314,5931,289,217,940,75,766,8,2982,2529,20397,57647,19963,28209,20614,9403,14466,14104,121080,56996,17070,57647,9620,17359,,
01,Shelby,Alabama,AL,171465,216,11831,44924,111624,13717,151232,16118,514,2401,5315,77,1583,6,16315,14100,32407,134257,35665,45781,36008,8230,43038,30521,251711,90191,30521,115053,13889,42695,,
01,Sumter,Alabama,AL,13819,15,3648,3897,7960,1589,3441,10323,14,14,193,74,141,7,104,101,0,0,0,0,0,1631,3358,2460,20355,7891,5901,9369,1368,4602,,
01,Talladega,Alabama,AL,80457,109,13517,20034,49642,9655,54308,25263,161,322,885,73,877,8,3658,3111,27436,63641,26309,33953,19390,8770,20919,16172,123984,51171,23976,67825,7724,21402,,
01,Tallapoosa,Alabama,AL,40717,57,6515,9609,24349,5945,29683,10709,81,81,366,74,426,7,952,776,13070,32289,9446,0,11971,2280,12541,7940,72232,26751,10098,29194,6148,10831,,
01,Tuscaloosa,Alabama,AL,168908,128,27870,42227,107932,16722,114351,50841,338,1858,2703,75,1733,7,16143,15609,45774,133437,42734,50166,40200,13344,41720,32768,272955,115195,30741,119080,20100,42227,,
01,Walker,Alabama,AL,70117,88,10377,16548,42771,9606,64858,4487,210,140,841,72,836,10,2820,2300,24471,55603,21386,24541,23700,8063,15987,12831,144581,54902,29169,45015,12481,22718,,
01,Washington,Alabama,AL,17773,16,3004,4834,10557,2133,11730,4692,1191,18,160,75,177,0,173,151,0,0,0,0,0,1866,4674,2950,32507,10397,6185,11961,1813,4106,,
01,Wilcox,Alabama,AL,12937,15,3609,3959,7296,1423,3506,9392,13,13,103,72,146,0,88,83,0,0,0,0,0,983,4528,2859,18513,5770,6520,9185,0,2872,,
01,Winston,Alabama,AL,24498,40,4140,5586,15238,3356,24082,147,98,24,465,74,263,10,348,283,0,0,6859,0,6590,2082,4287,4091,48310,17369,11098,14258,3356,7668,,
02,Aleutians East,Alaska,AK,2713,0,317,364,2257,81,906,52,803,909,402,77,17,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
02,Aleutians West,Alaska,AK,5382,1,393,753,4483,140,2621,205,1006,1442,646,77,56,0,18,22,0,0,0,0,0,0,0,0,10199,2643,0,0,0,5226,,
02,Anchorage,Alaska,AK,275043,162,23929,82238,175202,15952,198031,17053,23379,21178,17603,77,2182,0,39161,56499,0,0,0,0,0,0,59409,41256,320700,154849,45107,174102,43457,87189,,
02,Bethel,Alaska,AK,17127,0,3580,7056,9214,788,2295,103,14044,223,188,77,172,0,129,212,0,0,0,0,0,0,0,6919,15620,11218,3288,10859,5875,16904,,
02,Bristol Bay,Alaska,AK,1112,2,90,295,752,62,641,7,460,3,11,77,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
02,Denali,Alaska,AK,1881,0,124,421,1373,83,1685,24,88,43,53,77,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
02,Dillingham,Alaska,AK,4926,0,892,1813,2788,300,1158,25,3512,25,123,77,48,0,11,18,0,0,0,0,0,0,0,2094,5758,3000,1108,4823,1074,4872,,
02,Fairbanks North Star,Alaska,AK,87560,12,6830,27319,55425,4290,69260,4641,6830,2277,4553,77,725,0,3906,5977,0,0,0,0,0,0,21627,15498,119957,49034,15411,48158,12871,31084,,
02,Haines,Alaska,AK,2272,1,259,484,1522,234,1988,7,218,16,32,77,18,0,3,4,0,0,0,0,0,0,0,0,3238,1402,0,1234,0,1134,,
02,Juneau,Alaska,AK,30987,11,2262,8274,20513,1952,23333,341,3780,1735,1116,77,230,0,520,718,0,0,0,0,0,0,6228,7964,26711,14068,4245,15617,2944,8274,,
02,Kenai Peninsula,Alaska,AK,51960,3,5144,14237,33047,4313,45465,312,4001,675,1403,77,454,0,1449,2044,0,0,0,0,0,0,10444,8366,85370,35385,11639,30501,13094,21304,,
02,Ketchikan Gateway,Alaska,AK,13262,11,1074,3647,8461,1021,9827,133,2095,703,385,77,125,0,94,129,0,0,0,0,0,0,4085,4045,22015,7321,1525,7055,2175,6167,,
02,Kodiak Island,Alaska,AK,13051,2,1135,4111,8196,679,8105,157,2049,2284,874,77,98,0,86,124,0,0,0,0,0,0,4033,3954,16288,6682,1814,9057,1318,6604,,
02,Lake and Peninsula,Alaska,AK,1570,0,261,535,926,100,367,0,1123,13,20,77,21,0,1,2,0,0,0,0,0,0,0,0,3404,0,0,0,0,2859,,
02,Matanuska-Susitna,Alaska,AK,76006,3,7981,22118,48796,4712,67113,836,4332,760,2128,77,659,0,3036,4493,0,0,0,0,0,0,22498,19762,105572,38307,19686,40739,14745,29262,,
02,Nome,Alaska,AK,9328,0,1623,3498,5280,485,1866,47,7061,103,103,77,102,0,41,65,0,0,0,0,0,0,0,3806,12649,7500,2668,5550,5951,8908,,
02,North Slope,Alaska,AK,6924,0,803,2735,3836,312,1087,76,4985,492,270,77,70,0,22,35,0,0,0,0,0,0,0,0,9534,7056,2257,2202,2472,4618,,
02,Northwest Arctic,Alaska,AK,7621,0,1296,3178,4047,381,998,8,6371,76,427,77,85,0,25,43,0,0,0,0,0,0,0,3300,9160,4542,1654,6485,5137,5944,,
02,Prince of Wales-Outer Ketchikan,Alaska,AK,5660,1,781,1517,3673,447,3028,11,2315,23,136,77,47,0,17,24,0,0,0,0,0,0,0,0,8592,1930,0,0,900,2564,,
02,Sitka,Alaska,AK,8986,3,692,2426,5643,854,6146,36,1806,503,350,77,74,0,43,61,0,0,0,0,0,0,0,2273,15285,4466,0,6946,1501,4026,,
02,Skagway-Hoonah-Angoon,Alaska,AK,3126,0,363,713,2126,259,1913,6,1113,3,128,-2222,21,0,6,7,0,0,0,0,0,0,0,0,3723,0,0,1344,0,1585,,
02,Southeast Fairbanks,Alaska,AK,6614,0,1038,2037,4068,476,5410,185,761,53,218,77,63,0,22,35,0,0,0,0,0,0,0,0,10040,2844,2183,5285,2189,2778,,
02,Valdez-Cordova,Alaska,AK,9899,0,901,2712,6514,614,7602,49,1445,416,238,77,82,0,53,75,0,0,0,0,0,0,0,0,14512,6603,3633,4356,1297,5781,,
02,Wade Hampton,Alaska,AK,7541,0,1893,3559,3590,354,354,0,7043,8,30,77,81,0,23,42,0,0,0,0,0,0,0,3491,7639,6304,1199,0,5015,5588,,
02,Wrangell-Petersburg,Alaska,AK,6245,1,556,1686,3884,593,4727,12,1012,137,169,77,54,0,21,29,0,0,0,0,0,0,0,1505,8774,3866,0,3547,1124,4434,,
02,Yakutat,Alaska,AK,722,0,78,160,507,52,417,1,293,5,6,-2222,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
02,Yukon-Koyukuk,Alaska,AK,6143,0,1075,1984,3649,461,1652,6,4294,31,80,77,73,0,19,29,0,0,0,0,0,0,0,1812,10425,4349,3581,4595,5609,7298,,
04,Apache,Arizona,AZ,69343,6,19069,25518,37099,6102,15394,416,52770,208,3190,74,654,5,2319,2810,15672,44796,17058,12759,9916,5201,13036,7905,84460,11580,59496,29193,15394,31412,,
04,Cochise,Arizona,AZ,126106,20,20555,34175,71754,18159,113622,5549,1639,2648,38841,77,1064,7,8749,8867,28752,91679,30013,32788,25473,11476,28752,22195,220181,59522,31400,57883,23077,37706,,
04,Coconino,Arizona,AZ,123866,7,19323,35921,78407,8671,81875,1610,37036,1486,14368,79,947,6,8233,9466,18332,87945,20438,21305,24278,5202,32081,17217,142198,41000,37531,68002,23782,40256,,
04,Gila,Arizona,AZ,51663,11,8834,13122,27743,9661,43139,362,7543,310,8421,75,477,8,1498,1432,16894,38334,12657,17824,13226,4546,17514,10591,74550,26451,16274,26141,11211,20252,,
