State_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Unhealthy_Days,Major_Depression,Recent_Drug_Use,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,MVA,Stroke,Suicide,Injury
18,Brown,Indiana,IN,15154,49,8.2,22.4,64.1,12.1,98.5,0.5,0.1,0.4,0.9,76.7,877,4.2,1064,644,18,-1111.1,25.2,-1111.1,18.6,11.9,41.2,19.1,141.4,64.8,22,67.9,12.6,20.5
18,Carroll,Indiana,IN,20426,55,7.5,25.5,60.8,11.5,99.2,0.3,0.1,0.1,3.7,77.3,806.9,7.1,1379,870,25.7,-1111.1,32.6,-1111.1,26.2,6.1,21.4,20.9,145.1,51.7,27.8,69.2,13.5,25.5
18,Cass,Indiana,IN,40130,97,9.7,26.6,59.5,11.8,96.8,1.6,0.5,0.6,10,76,937.7,7.4,2674,1706,29.4,77.4,21.1,19.7,28.5,4.1,16.1,37,198,66.9,17.2,62.4,10.9,19.7
18,Clark,Indiana,IN,101592,271,9.4,25.1,62.5,10.9,90.5,7.1,0.3,0.8,2.6,75.1,1018.9,7.2,6882,4288,26.3,79.9,22.2,28.6,29.5,8.7,29.8,26,218.1,85.7,12.3,81.4,11.5,23.3
18,Clay,Indiana,IN,27142,76,9.6,26.2,59.5,12.2,98.3,0.6,0.3,0.2,0.7,75.6,986.6,7.4,1817,1172,33.1,80.6,33.3,-1111.1,29.7,9.8,28.4,21.3,214.6,71.9,21.8,79.8,15.5,23.7
18,Clinton,Indiana,IN,34091,84,9.1,27.7,58.1,12.1,98.7,0.4,0.2,0.3,11.5,75.8,908.2,5.9,2236,1455,33.4,-1111.1,24.9,20.4,23.6,8.1,20.9,22,178.9,60,24.5,67.6,12.5,17.7
18,Crawford,Indiana,IN,11216,37,12.9,25.4,61.6,11.5,98.9,0.2,0.4,0.4,1.2,74.9,1014.9,5.8,759,478,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,22.9,24.2,233.7,66.9,22.6,72.4,17.2,27.9
18,Daviess,Indiana,IN,30466,71,12.4,29.7,56,12.1,98.5,0.6,0.2,0.3,3.2,76.3,896.5,6.5,1946,1275,33,84.8,23.1,-1111.1,26.9,3.5,23.1,18.3,165.2,61.8,22.4,106.2,12.8,22.1
18,Dearborn,Indiana,IN,49082,161,6.8,26.7,61.7,10.2,98,0.8,0.2,0.4,0.7,76.4,895.1,6.8,3267,2093,28.5,78.5,18.7,23.9,35.7,4.7,22.2,28.7,164,77.8,21.5,81.1,11.6,26.9
18,Decatur,Indiana,IN,25184,68,9,27.2,58.9,12,98.2,0.2,0.1,1.2,0.9,76.7,871.5,8.1,1660,1040,32.1,86.5,34,-1111.1,27.7,9.4,20.3,17.6,218.3,68.3,23.5,53.6,8,22
